crop_id,split,class_id,class_name,source_image,object_index,bbox_area_ratio,crop_width,crop_height,crop_path
1,train,0,haccp,anh_000020.jpg,1,0.022504939488,126,135,data\logo_classifier_raw\train\haccp\train_haccp_00001_anh_000020_obj1.jpg
2,train,5,khac,anh_000029.jpg,1,0.019229593947999998,251,223,data\logo_classifier_raw\train\khac\train_khac_00002_anh_000029_obj1.jpg
3,train,5,khac,anh_000030.jpg,1,0.019229593947999998,251,223,data\logo_classifier_raw\train\khac\train_khac_00003_anh_000030_obj1.jpg
4,train,5,khac,anh_000031.jpg,1,0.019229593947999998,251,223,data\logo_classifier_raw\train\khac\train_khac_00004_anh_000031_obj1.jpg
5,train,5,khac,anh_000032.jpg,1,0.019229593947999998,251,223,data\logo_classifier_raw\train\khac\train_khac_00005_anh_000032_obj1.jpg
6,train,5,khac,anh_000033.jpg,1,0.019229593947999998,251,223,data\logo_classifier_raw\train\khac\train_khac_00006_anh_000033_obj1.jpg
7,train,5,khac,anh_000034.jpg,1,0.019229593947999998,251,223,data\logo_classifier_raw\train\khac\train_khac_00007_anh_000034_obj1.jpg
8,train,1,fda,anh_000048.jpg,1,0.015606999296,264,173,data\logo_classifier_raw\train\fda\train_fda_00008_anh_000048_obj1.jpg
9,train,5,khac,anh_000049.jpg,1,0.019245099999999998,251,223,data\logo_classifier_raw\train\khac\train_khac_00009_anh_000049_obj1.jpg
10,train,5,khac,anh_000050.jpg,1,0.019245099999999998,251,223,data\logo_classifier_raw\train\khac\train_khac_00010_anh_000050_obj1.jpg
11,train,5,khac,anh_000051.jpg,1,0.019245099999999998,251,223,data\logo_classifier_raw\train\khac\train_khac_00011_anh_000051_obj1.jpg
12,train,5,khac,anh_000052.jpg,1,0.010851891314999999,222,143,data\logo_classifier_raw\train\khac\train_khac_00012_anh_000052_obj1.jpg
13,train,5,khac,anh_000059.jpg,1,0.019245099999999998,251,223,data\logo_classifier_raw\train\khac\train_khac_00013_anh_000059_obj1.jpg
14,train,5,khac,anh_000060.jpg,1,0.019245099999999998,251,223,data\logo_classifier_raw\train\khac\train_khac_00014_anh_000060_obj1.jpg
15,train,5,khac,anh_000061.jpg,1,0.019245099999999998,251,223,data\logo_classifier_raw\train\khac\train_khac_00015_anh_000061_obj1.jpg
16,train,5,khac,anh_000062.jpg,1,0.019245099999999998,251,223,data\logo_classifier_raw\train\khac\train_khac_00016_anh_000062_obj1.jpg
17,train,5,khac,anh_000063.jpg,1,0.019245099999999998,251,223,data\logo_classifier_raw\train\khac\train_khac_00017_anh_000063_obj1.jpg
18,train,5,khac,anh_000064.jpg,1,0.019245099999999998,251,223,data\logo_classifier_raw\train\khac\train_khac_00018_anh_000064_obj1.jpg
19,train,5,khac,anh_000078.jpg,1,0.0299679,217,222,data\logo_classifier_raw\train\khac\train_khac_00019_anh_000078_obj1.jpg
20,train,5,khac,anh_000079.jpg,1,0.030035660577999997,377,406,data\logo_classifier_raw\train\khac\train_khac_00020_anh_000079_obj1.jpg
21,train,4,ocop,anh_000085.jpg,1,0.002927926116,214,206,data\logo_classifier_raw\train\ocop\train_ocop_00021_anh_000085_obj1.jpg
22,train,4,ocop,anh_000088.jpg,1,0.006384660732000001,401,352,data\logo_classifier_raw\train\ocop\train_ocop_00022_anh_000088_obj1.jpg
23,train,4,ocop,anh_000089.jpg,1,0.056984853222,546,305,data\logo_classifier_raw\train\ocop\train_ocop_00023_anh_000089_obj1.jpg
24,train,5,khac,anh_000090.jpg,1,0.030002800000000003,506,611,data\logo_classifier_raw\train\khac\train_khac_00024_anh_000090_obj1.jpg
25,train,5,khac,anh_000095.jpg,1,0.0299669587,533,610,data\logo_classifier_raw\train\khac\train_khac_00025_anh_000095_obj1.jpg
26,train,4,ocop,anh_000097.jpg,1,0.005955935897000001,393,323,data\logo_classifier_raw\train\ocop\train_ocop_00026_anh_000097_obj1.jpg
27,train,4,ocop,anh_000098.jpg,1,0.004875962944,334,289,data\logo_classifier_raw\train\ocop\train_ocop_00027_anh_000098_obj1.jpg
28,train,4,ocop,anh_000099.jpg,1,0.004563924818,61,58,data\logo_classifier_raw\train\ocop\train_ocop_00028_anh_000099_obj1.jpg
29,train,5,khac,anh_000100.jpg,1,0.030030684167999998,219,223,data\logo_classifier_raw\train\khac\train_khac_00029_anh_000100_obj1.jpg
30,train,4,ocop,anh_000101.jpg,1,0.0599409,470,250,data\logo_classifier_raw\train\ocop\train_ocop_00030_anh_000101_obj1.jpg
31,train,4,ocop,anh_000109.jpg,1,0.001936322168,163,104,data\logo_classifier_raw\train\ocop\train_ocop_00031_anh_000109_obj1.jpg
32,train,4,ocop,anh_000111.jpg,1,0.0044976003200000005,331,264,data\logo_classifier_raw\train\ocop\train_ocop_00032_anh_000111_obj1.jpg
33,train,4,ocop,anh_000112.jpg,1,0.003298721532,261,190,data\logo_classifier_raw\train\ocop\train_ocop_00033_anh_000112_obj1.jpg
34,train,4,ocop,anh_000113.jpg,1,0.060037200000000006,714,375,data\logo_classifier_raw\train\ocop\train_ocop_00034_anh_000113_obj1.jpg
35,train,5,khac,anh_000114.jpg,1,0.03,222,222,data\logo_classifier_raw\train\khac\train_khac_00035_anh_000114_obj1.jpg
36,train,5,khac,anh_000115.jpg,1,0.03,222,222,data\logo_classifier_raw\train\khac\train_khac_00036_anh_000115_obj1.jpg
37,train,4,ocop,anh_000130.jpg,1,0.0036066030090000003,286,190,data\logo_classifier_raw\train\ocop\train_ocop_00037_anh_000130_obj1.jpg
38,train,4,ocop,anh_000131.jpg,1,0.004501482109,357,286,data\logo_classifier_raw\train\ocop\train_ocop_00038_anh_000131_obj1.jpg
39,train,4,ocop,anh_000132.jpg,1,0.0600369,754,401,data\logo_classifier_raw\train\ocop\train_ocop_00039_anh_000132_obj1.jpg
40,train,4,ocop,anh_000139.jpg,1,0.007585548706,113,96,data\logo_classifier_raw\train\ocop\train_ocop_00040_anh_000139_obj1.jpg
41,train,1,fda,anh_000155.jpg,1,0.0029410520440000002,126,139,data\logo_classifier_raw\train\fda\train_fda_00041_anh_000155_obj1.jpg
42,train,2,gmp,anh_000155.jpg,2,0.0024508302279999997,104,139,data\logo_classifier_raw\train\gmp\train_gmp_00042_anh_000155_obj2.jpg
43,train,5,khac,anh_000157.jpg,1,0.01126,179,184,data\logo_classifier_raw\train\khac\train_khac_00043_anh_000157_obj1.jpg
44,train,5,khac,anh_000158.jpg,1,0.00452793275,130,102,data\logo_classifier_raw\train\khac\train_khac_00044_anh_000158_obj1.jpg
45,train,4,ocop,anh_000223.jpg,1,0.00599407736,175,141,data\logo_classifier_raw\train\ocop\train_ocop_00045_anh_000223_obj1.jpg
46,train,4,ocop,anh_000224.jpg,1,0.009781108892,313,207,data\logo_classifier_raw\train\ocop\train_ocop_00046_anh_000224_obj1.jpg
